timestamp_s,can_id_hex,dlc,data_hex,is_extended,is_remote
54.367227,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
54.376277,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.377218,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
54.382169,1CECFF0B,8,20 0E 00 02 FF CA FE 00,1,0
54.386226,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.387212,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
54.395218,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.396295,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
54.406226,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.407229,18FEDF00,8,84 FF FF FF 7D FF FE 00,1,0
54.410176,0C00000B,8,30 FF FF FA FF FF FF 30,1,0
54.410757,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
54.412205,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
54.414233,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
54.416184,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
54.416753,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.418218,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
54.426190,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
54.426756,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.428288,18FEF500,8,C8 FF FF FF FF FF FF FF,1,0
54.432173,1CEBFF0B,8,01 D0 FF 07 06 04 0D 2A,1,0
54.436182,0C00290B,8,30 FF FF 7D FF FF FF 44,1,0
54.436755,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.438228,18FEBD00,8,FF FF 00 00 FF FF FF FF,1,0
54.446228,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.456300,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.462218,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
54.466228,1CECFF29,8,20 13 00 03 FF E1 FE 00,1,0
54.467238,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.468283,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
54.476473,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.477290,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
